Survey,ExternalName,logrho,logMass,DVsys,DVsysopt,Aspec,Aflux,Apeak,Amap,A1_inner,A2_outer,Avel,Source,AllowedUse,InterpretationGuardrail
LVHIS,LVHIS074,-1.630000000,8.400000000,1,1,0.082000000,1.020000000,1.040000000,0.050000000,0.050000000,0.140000000,0.020000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS075,-1.500000000,8.000000000,0,3,0.174000000,1.180000000,,0.260000000,0.110000000,0.280000000,0.047000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS076,-1.960000000,8.100000000,1,,0.118000000,1.100000000,1.160000000,0.080000000,0.030000000,0.160000000,0.033000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS077,-1.240000000,9.100000000,0,0,0.114000000,1.050000000,1.030000000,0.180000000,0.180000000,0.120000000,0.039000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS078,-1.190000000,8.200000000,0,2,0.100000000,1.010000000,1.000000000,0.170000000,0.240000000,0.340000000,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS079,-1.280000000,6.900000000,1,2,0.206000000,1.180000000,,0.240000000,0.300000000,0.410000000,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS080,-1.480000000,7.300000000,0,1,0.124000000,1.040000000,1.120000000,0.070000000,0.150000000,,0.017000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS081,-1.330000000,7.400000000,1,21,0.234000000,1.250000000,,0.120000000,0.250000000,0.280000000,,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
LVHIS,LVHIS082,-1.360000000,9.500000000,1,4,0.138000000,1.070000000,1.110000000,0.050000000,0.010000000,0.180000000,0.021000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
VIVA,NGC4064,-0.440000000,10.100000000,2,3,0.442000000,1.050000000,1.290000000,0.280000000,0.090000000,,0.110000000,Reynolds_etal_2020_VizieR_J_MNRAS_493_5089,published_resolved_HI_asymmetry_proxy_only,reynolds2020_asymmetry_crossmatch_no_velocity_endpoint
